Empresa;Codigo;indices dos quais participa
3M;MMMC34;BDRX
3R PETROLEUM;RRRP3;IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
3TENTOS;TTEN3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
AB INBEV;ABUD34;BDRX
ABB LTD;A1BB34;BDRX
ABBOTT;ABTT34;BDRX
ABBVIE;ABBV34;BDRX
ABC BRASIL;ABCB4;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL
ACCENTURE;ACNB34;BDRX
ACTIVISION;ATVI34;BDRX
ADOBE INC;ADBE34;BDRX
ADVANCE AUTO;A1AP34;BDRX
ADVANCED MIC;A1MD34;BDRX
AEGON NV;A1EG34;BDRX
AERIS;AERI3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
AES BRASIL;AESB3;IBRA,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
AES CORP;A1ES34;BDRX
AGROGALAXY;AGXY3;IGCX,IGNM,ITAG
AIRBNB;AIRB34;BDRX
AKAMAI TECHN;A1KA34;BDRX
ALBEMARLE CO;A1LB34;BDRX
ALEXANDRIA R;A1RE34;BDRX
ALIANSCSONAE;ALSO3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
ALIBABAGR;BABA34;BDRX
ALIGN TECHNO;A1LG34;BDRX
ALLIAR;AALR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ALLIED;ALLD3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ALNYLAM PHAR;A1LN34;BDRX
ALPARGATAS;ALPA3;IGCX
ALPARGATAS;ALPA4;GPTW,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,INDX,IVBX,MLCX
ALPER S.A.;APER3;IGCX,IGNM,ITAG
ALPHABET;GOGL34;BDRX
ALPHABET;GOGL35;BDRX
ALPHAVILLE;AVLL3;IGCX,IGNM,ITAG
ALTERYX INC;A1YX34;BDRX
ALTRIA GROUP;MOOO34;BDRX
ALUPAR;ALUP11;IBRA,IDIV,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
AMAZON;AMZO34;BDRX
AMBEV S/A;ABEV3;AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,INDX,MLCX
AMBIPAR;AMBP3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
AMC ENTERT H;A2MC34;BDRX
AMCOR PLC;A1CR34;BDRX
AMERICAMOVIL;A1MX34;BDRX
AMERICAN AIR;AALL34;BDRX
AMERICAN EXP;AXPB34;BDRX
AMERICAN TOW;T1OW34;BDRX
AMERICANAS;AMER3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
AMGEN;AMGN34;BDRX
ANGLOGOLD AS;A1UA34;BDRX
ANIMA;ANIM3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
APA CORP;A1PA34;BDRX
APARTMENT IN;A1IV34;BDRX
APPLE;AAPL34;BDRX
APPLIED MATE;A1MT34;BDRX
ARCELOR;ARMT34;BDRX
AREZZO CO;ARZZ3;AGFS,GPTW,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ARMAC;ARML3;AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
ASML HOLD;ASML34;BDRX
ASSAI;ASAI3;AGFS,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
ASTRAZENECA;A1ZN34;BDRX
ATLASSIAN CO;T1AM34;BDRX
ATT INC;ATTB34;BDRX
AUREN;AURE3;IBRA,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,MLCX,UTIL
AUTODESK INC;A1UT34;BDRX
AUTOHOME INC;A1TH34;BDRX
AVALONBAY CO;A1VB34;BDRX
AZUL;AZUL4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,ISEE,ITAG,IVBX,SMLL
B3;B3SA3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX
BAHEMA;BAHI3;ITAG
BAIDU INC;BIDU34;BDRX
BANCO BMG;BMGB4;IBRA,IFNC,IGCT,IGCX,ITAG,SMLL
BANCO PAN;BPAN4;GPTW,IBOV,IBRA,IBXX,IFNC,IGCT,IGCX,ITAG,IVBX,MLCX
BANCO SANTAN;B1SA34;BDRX
BANESE;BGIP3;ITAG
BANESE;BGIP4;ITAG
BANK AMERICA;BOAC34;BDRX
BANRISUL;BRSR3;IGCX,ITAG
BANRISUL;BRSR6;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL
BARCLAYS PLC;B1CS34;BDRX
BBSEGURIDADE;BBSE3;IBOV,IBRA,IBXL,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
BEMOBI TECH;BMOB3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
BERKSHIRE;BERK34;BDRX
BEST BUY;BBYY34;BDRX
BEYOND MEAT;B2YN34;BDRX
BILIBILI INC;B1IL34;BDRX
BIOGEN;BIIB34;BDRX
BIOMM;BIOM3;ITAG
BIONTECH SE;B1NT34;BDRX
BK BRASIL;BKBR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
BLACKROCK;BLAK34;BDRX
BLAU;BLAU3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
BLOCK INC.;S2QU34;BDRX
BNY MELLON;BONY34;BDRX
BOA SAFRA;SOJA3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
BOA VISTA;BOAS3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
BOEING;BOEI34;BDRX
BOOKING;BKNG34;BDRX
BOSTON PROP;BOXP34;BDRX
BOSTON SCIEN;B1SX34;BDRX
BP PLC;B1PP34;BDRX
BR MALLS PAR;BRML3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,IMOB,ITAG,IVBX,SMLL
BR PARTNERS;BRBI11;IBRA,IFNC,IGCT,IGCX
BR PROPERT;BRPR3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
BRADESCO;BBDC3;IBOV,IBRA,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ITAG,MLCX
BRADESCO;BBDC4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
BRADESPAR;BRAP3;IGCX,ITAG
BRADESPAR;BRAP4;IBOV,IBRA,IBXL,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,IVBX,MLCX
